Date,Total production [Wh],Total consumption [Wh],Own consumption [Wh] (consumption of own energy),Cost From Grid [c-kWh],Feed In Tarrif [c-kWh]
06-Apr-20,6857.89,41056.5,5652.89,30.074,0
07-Apr-20,11554.47,33746.47,9088.47,30.074,0
08-Apr-20,7564.25,29649.25,5473.25,30.074,0
09-Apr-20,5458.7,25862.7,3604.7,30.074,0
10-Apr-20,0,19674,0,30.074,0
11-Apr-20,3779.98,37125.98,3016.98,30.074,0
12-Apr-20,0,5405,0,30.074,0
13-Apr-20,0,0,0,30.074,0
14-Apr-20,0,0,0,30.074,0
15-Apr-20,0,0,0,30.074,0
16-Apr-20,13005.8,15189.41,2499.8,30.074,0
17-Apr-20,15994.05,22118.05,7187.05,30.074,0
18-Apr-20,8457.32,20056.32,3149.32,30.074,0
19-Apr-20,21610.99,18255.99,5940.99,30.074,0
20-Apr-20,15298.71,17094.71,4577.71,30.074,0
21-Apr-20,17047.38,25907.38,9397.38,37.257,0
22-Apr-20,16894.35,18802.35,4984.35,37.257,0
23-Apr-20,15464.38,20914.38,5305.38,37.257,0
24-Apr-20,23748.42,14572.42,4685.42,34.617,12
25-Apr-20,20058.12,15970.12,4770.12,19.162,12
26-Apr-20,9770.57,9148.57,4787.57,19.162,12
27-Apr-20,25390.6,39835.6,11027.6,34.617,12
28-Apr-20,17386.03,30426.03,8514.03,34.617,12
29-Apr-20,4624.66,27629.66,3339.66,34.617,12
30-Apr-20,10549.86,31635.86,7480.86,34.617,12
01-May-20,6027.98,25192.98,4614.98,34.617,12
02-May-20,10371.16,31619.16,8176.16,19.162,12
03-May-20,13259.67,26115.67,7782.67,19.162,12
04-May-20,4786.11,26680.11,3433.11,34.617,12
05-May-20,22396.96,25896.96,6901.96,34.617,12
06-May-20,15980.13,21035.13,4534.13,34.617,12
07-May-20,12693.12,20773.12,4358.12,34.617,12
08-May-20,18097.89,13320.89,3710.89,34.617,12
09-May-20,5695.5,31873.5,4206.5,19.162,12
10-May-20,14548.16,23255.16,8905.16,19.162,12
11-May-20,11028.02,29213.02,6861.02,34.617,12
12-May-20,11830.42,34997.42,9143.42,34.617,12
13-May-20,8636.68,24517.68,5449.68,34.617,12
14-May-20,15986.62,31174.62,9535.62,34.617,12
15-May-20,19670.66,28998.66,7074.66,34.617,12
16-May-20,19850.87,22978.87,4954.87,19.162,12
17-May-20,19397.03,26830.03,6625.03,19.162,12
18-May-20,18794.27,27482.27,7343.27,34.617,12
19-May-20,6081.3,24890.3,4569.3,34.617,12
20-May-20,10865.32,26177.32,6579.32,34.617,12
21-May-20,13941.34,22694.34,6721.34,34.617,12
22-May-20,8204.18,29097.18,5888.18,34.617,12
23-May-20,5205.68,19379.68,3019.68,19.162,12
24-May-20,7017.23,34021.23,5333.23,19.162,12
25-May-20,18846.31,21048.31,4921.31,34.617,12
26-May-20,18373.74,19580.74,5583.74,34.617,12
27-May-20,9719.45,29144.45,6455.45,34.617,12
28-May-20,12146.84,24444.84,4765.84,34.617,12
29-May-20,13840.65,17875.65,3396.65,34.617,12
30-May-20,16372.54,22278.54,7831.54,19.162,12
31-May-20,12829.23,22543.23,6258.23,19.162,12
01-Jun-20,3493,20107,1670,34.617,12
02-Jun-20,5038.31,24691.31,4019.31,34.617,12
03-Jun-20,12550.72,29780.72,8679.72,34.617,12
04-Jun-20,17157.3,27524.3,6660.3,34.617,12
05-Jun-20,16755.86,23036.86,6405.86,34.617,12
06-Jun-20,7214.94,27440.94,5464.94,19.162,12
07-Jun-20,8295.18,29131.18,5351.18,19.162,12
08-Jun-20,15158.66,40493.66,10307.66,34.617,12
09-Jun-20,16628.74,25369.74,6303.74,34.617,12
10-Jun-20,15182.43,36448.43,10290.43,34.617,12
11-Jun-20,15844.98,37150.98,11847.98,34.617,12
12-Jun-20,16806.32,26525.32,6435.32,34.617,12
13-Jun-20,3533.94,27229.94,2974.94,19.162,12
14-Jun-20,12536.73,24227.73,7355.73,19.162,12
15-Jun-20,11039.79,26312.79,7937.79,34.617,12
16-Jun-20,8689.59,26824.59,4387.59,34.617,12
17-Jun-20,15524.56,26801.56,7323.56,34.617,12
18-Jun-20,16224.23,37773.23,10796.23,34.617,12
19-Jun-20,14723.18,23762.18,5241.18,34.617,12
20-Jun-20,14325.62,25700.62,4721.62,19.162,12
21-Jun-20,6003.15,30816.15,4594.15,19.162,12
22-Jun-20,6308.73,24666.73,3925.73,34.617,12
23-Jun-20,6447.22,19967.22,4908.22,34.617,12
24-Jun-20,10000.42,27100.42,7187.42,34.617,12
25-Jun-20,7481.49,21398.49,4243.49,34.617,12
26-Jun-20,11697.29,33710.29,8735.29,34.617,12
27-Jun-20,8688.73,32535.73,6379.73,19.162,12
28-Jun-20,16530.04,36948.04,11371.04,19.162,12
29-Jun-20,16719.52,30139.52,7416.52,34.617,12
30-Jun-20,11691.86,29422.86,6952.86,34.617,12
01-Jul-20,16219.99,23434.99,6694.99,34.617,12
02-Jul-20,9120.21,28100.21,7150.21,34.617,12
03-Jul-20,4385.03,24562.03,3826.03,34.617,12
04-Jul-20,4847.48,28330.48,4182.48,19.162,12
05-Jul-20,7228.37,38091.37,5919.37,19.162,12
06-Jul-20,5787.15,21738.15,4031.15,34.617,12
07-Jul-20,4140.86,22808.86,3382.86,34.617,12
08-Jul-20,14482.71,20019.71,5169.71,34.617,12
09-Jul-20,13804.57,26306.57,7611.57,34.617,12
